Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Trip Replan Ride Hail Pooled,20071,21795,18141,20216,20706,16500,9089,22328,22159,17645,9348,30804,26935,33233,34864,34188,20613,33874,30472,38411,41799,47210,32537,30983,28565,36931,41495,54521,46260,33299,30089,39503,45354,62381,59345,118697,111841,102217,116901,120709,118188,75117,82
Trip Replan Drive-Transit,259,272,309,288,280,214,263,245,254,259,206,318,296,300,276,259,212,322,331,358,308,294,264,413,344,359,375,379,323,479,401,429,360,396,308,380,369,309,343,422,355,285,83
Trip Replan Cable Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Trip Replan Bike-Transit,101,88,118,102,96,56,17,79,153,28,12,209,174,167,144,87,35,252,234,213,241,168,46,359,372,288,397,241,99,495,473,490,517,384,178,315,329,334,335,339,283,110,85
Trip Exec Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Trip Exec Subway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Trip Exec Tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Trip Exec Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Trip Exec Car,3932335,3929496,3939185,3909393,3892039,3829015,3774670,3900181,3880784,3824799,3770057,3919460,3924224,3885754,3872690,3772711,3656003,3910055,3916926,3885150,3856087,3739689,3566443,3906744,3911643,3875719,3851940,3729426,3478650,3895498,3901344,3870809,3854595,3729984,3442317,3889964,3896013,3896636,3869841,3844786,3720022,3507961,90
Trip Exec HOV3 Passenger,575144,576177,575268,575970,573818,573094,572763,575700,574373,573520,572348,571129,571272,569161,569773,565407,565011,567403,565442,564598,563361,560099,555574,559878,559534,557063,556458,551586,542693,553433,553156,551305,548119,543654,532354,555195,557038,558416,556341,554460,547971,539303,91
Trip Exec Bike,105258,105351,104825,104387,103420,101195,100858,103142,102839,102035,101003,108233,107998,107030,105612,103409,100123,109107,109526,108590,108540,104573,99793,111989,112927,112383,110972,105783,100258,113916,114664,114528,114071,108531,99856,109999,110049,110163,107886,109120,104843,99063,92
Trip Exec HOV2 Passenger,639033,639275,636960,638710,640230,638527,638128,639982,639294,637038,640179,634906,635793,633597,635495,630973,629733,631744,631974,630699,630420,626172,622725,625403,627815,623941,622573,619345,608994,618552,618828,617804,615271,609465,599932,623483,625096,626185,623700,620818,615436,607114,93
Trip Exec Walk,432368,432529,434902,414487,413110,407076,404892,419292,420355,412698,407485,441917,440678,430995,420256,410109,405503,456994,458593,435530,434551,417825,403985,473409,471423,457093,447570,423142,407829,502588,497444,468353,459635,438761,412031,491466,480701,479673,456993,453085,430111,405999,94
Trip Exec HOV2 Driver,689549,689155,690419,687758,685256,683827,680137,688250,684199,683020,680453,682650,681236,679065,675129,675096,667224,674981,673620,673380,668792,663139,654412,666928,666436,661802,661949,652200,640129,659957,660203,655751,654324,644120,624902,661019,664359,666209,661194,658795,648142,640553,95
Trip Exec HOV3 Driver,492928,492454,492067,492864,491165,490387,489510,491453,490999,489166,487834,486840,487263,483861,483049,479797,477455,481104,480133,477383,476609,472009,467325,474643,472867,470263,469141,464850,453363,466085,465765,464872,461736,455852,445775,469737,470923,473153,469609,467588,461030,451886,96
Trip Exec Walk-Transit,456704,457442,457950,455935,454937,447954,439003,454617,452303,446422,437055,474858,474357,474147,471859,463915,447925,489337,487734,486718,486695,477003,457811,502019,506137,504232,502976,494774,468940,516015,518181,516501,515611,509017,477207,513784,512983,509749,512352,513194,511092,489187,97
Trip Exec Ride Hail,94480,99644,89701,132686,154141,224327,280293,140889,160373,225298,282991,98004,93008,144754,172158,277390,403475,100073,94333,150132,181616,319177,518327,100730,96190,156184,187525,348734,651729,98500,95255,154540,186604,354708,712349,69891,63915,56081,87929,102104,165213,237018,98
Trip Exec Ride Hail-Transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
Trip Exec Ride Hail Pooled,15040,15012,13997,23732,28461,46362,63404,24625,29850,49216,64686,15670,15170,26563,31855,61692,93320,13471,13345,23187,28279,57353,100740,9153,9425,16724,21117,45655,93720,8469,8633,15298,19407,42367,98222,51408,53293,54844,91044,113214,232168,467729,100
Trip Exec Drive-Transit,1046,1005,1065,1023,1010,922,845,962,1036,952,884,1196,1119,1136,1093,953,932,1178,1223,1232,1219,1219,962,1386,1406,1397,1396,1335,1019,1360,1509,1677,1525,1388,1194,1333,1259,1384,1277,1358,1219,986,101
Trip Exec Cable Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
Trip Exec Bike-Transit,1274,1187,1401,1114,1007,528,239,1047,986,487,188,2052,2129,1870,1773,1172,484,2616,2821,2603,2532,1911,738,3681,3648,3653,3723,2751,1212,4304,4424,4435,4351,3583,1688,3640,3375,3132,3300,3248,2533,1177,103
Trip Vehicle Biodiesel,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,56766,104
Trip Vehicle Diesel,2012328,2013028,2015380,2009058,2002722,1991166,1979722,2005407,2000639,1990698,1975774,2000472,1997243,1987344,1983893,1963897,1943269,1986773,1985012,1979432,1967078,1942221,1911319,1971979,1971208,1960786,1955628,1927743,1878502,1958472,1959855,1948779,1943471,1915609,1858439,1964942,1968626,1974279,1962178,1957393,1927650,1891660,105
Trip Vehicle Gasoline,9540789,9543556,9539279,9592585,9611527,9691594,9804928,9595100,9605652,9689419,9806234,9505861,9504824,9555275,9589582,9694147,9847111,9471457,9468859,9538126,9556069,9679225,9888936,9440892,9437882,9497172,9525485,9664432,9928403,9393598,9397600,9469275,9505487,9643367,9949334,9415145,9423047,9415728,9489684,9507110,9622241,9855844,106
Trip Vehicle Electricity,107832,108049,107624,107406,107082,107534,108150,107411,107474,107715,108360,107460,106789,107721,108001,107629,107821,107469,107776,107076,107324,107674,107363,107234,107194,107174,107230,107513,107809,107230,106957,107295,107235,107206,106935,107362,107631,106935,107524,107470,107857,107804,107
Trip Vehicle Food,6126833,6127031,6136339,6081061,6052857,5960939,5870353,6067405,6045125,5955881,5858957,6177387,6174608,6124970,6089556,5953376,5763026,6221101,6227799,6169215,6134836,5963555,5694751,6288306,6306601,6246458,6204452,6013845,5645356,6355702,6366647,6304070,6266434,6081725,5631724,6320485,6317418,6306218,6260781,6229570,6061344,5725382,108
Trip Vehicle SF,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,416938,109
Trip Vehicle AC,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,271460,110
Trip Vehicle SC,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,191869,111
Trip Vehicle VT,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,171974,112
Trip Vehicle ST,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,67407,113
Trip Vehicle CT,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,51051,114
Trip Vehicle CC,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,50782,115
Trip Vehicle GG,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,49177,116
Trip Vehicle TD,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,18657,117
Trip Vehicle 3D,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,16699,118
Trip Vehicle MA,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,15524,119
Trip Vehicle BA,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,14358,120
Trip Vehicle SM,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,13347,121
Trip Vehicle SO,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,122
Trip Vehicle SR,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,12461,123
Trip Vehicle WH,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,12322,124
Trip Vehicle we,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,7827,125
Trip Vehicle VN,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,7587,126
Trip Vehicle un,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,7018,127
Trip Vehicle EM,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,128
Trip Vehicle VC,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,3215,129
Trip Vehicle pe,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,2855,130
Trip Vehicle CM,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,131
Trip Vehicle DE,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,132
Trip Vehicle ca,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,133
Trip Vehicle ri,223319,233374,211741,321164,375920,570297,784544,339068,391074,579052,793612,231005,220161,349268,416119,700299,1077231,230532,218936,352611,427156,772250,1312983,223127,214713,351521,424284,804883,1553758,217117,211094,345145,418390,808912,1674884,243308,235238,222854,359973,432617,799005,1440650,134
Trip Vehicle AM,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,135
Trip Vehicle CE,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,136
Trip Vehicle AY,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,137
Trip Vehicle SB,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,138
Trip Vehicle HF,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,139
Trip Vehicle Share Walk,0.337369711,0.337307875,0.337713524,0.334818766,0.333596509,0.329018606,0.323752313,0.334405689,0.333479721,0.32883014,0.323358732,0.339922028,0.339924149,0.337365375,0.335545814,0.329026489,0.319584052,0.342372932,0.342663586,0.339362761,0.337982512,0.329977772,0.316786694,0.345494422,0.346186567,0.343074595,0.341151303,0.332301387,0.314687666,0.348988807,0.349240168,0.345779606,0.343834771,0.335264568,0.314148429,0.347421619,0.347090338,0.346733575,0.343979921,0.342524256,0.33493275,0.318926324,140
Trip Vehicle Share Bike,0.005975102,0.005973355,0.005955233,0.005916554,0.005861324,0.005715185,0.005674156,0.005846371,0.005835598,0.005760912,0.005683561,0.0061899,0.006181703,0.006115104,0.006030638,0.005887888,0.005679989,0.006273802,0.006306773,0.006239617,0.006244335,0.006007738,0.005695183,0.006492351,0.006538495,0.006507538,0.006445593,0.006119762,0.005764656,0.006639242,0.006680522,0.006675096,0.006648828,0.006315702,0.005777757,0.006375814,0.006361545,0.006359601,0.006235689,0.006308884,0.006054673,0.005688632,141
Trip Vehicle Share Car,0.417461961,0.417083071,0.417805147,0.415077518,0.413821717,0.408202123,0.40253651,0.41450023,0.413093237,0.407902619,0.402527708,0.416303478,0.416873661,0.413373967,0.41207871,0.403445355,0.393227664,0.415670724,0.416296299,0.413006331,0.410809562,0.401009136,0.385645503,0.415199357,0.415378242,0.412063147,0.410027563,0.399656472,0.377911051,0.414348653,0.414537821,0.411460745,0.410034558,0.399155548,0.374525981,0.413561437,0.413892017,0.414124672,0.410944092,0.408839381,0.398206714,0.379825356,142
Trip Vehicle Share Car Emergency,0.025339616,0.025353042,0.025408073,0.025104057,0.024836248,0.024140051,0.023731309,0.024960957,0.024741834,0.024185417,0.023503699,0.024633143,0.024658595,0.024009151,0.023954052,0.022976162,0.021804558,0.024075961,0.024064378,0.023661986,0.02318737,0.021975847,0.020364588,0.023337076,0.023371709,0.022812395,0.022580163,0.02122114,0.018794181,0.022651368,0.022705891,0.022298103,0.02195343,0.020554604,0.017875956,0.023245618,0.023355654,0.023555193,0.023038236,0.022649513,0.021314639,0.019518121,143
Trip Vehicle Share Car HOV2 Emergency,0.008310437,0.008385892,0.008315137,0.008301621,0.008232986,0.008187894,0.008003459,0.008268577,0.008138516,0.008129219,0.007968678,0.008177356,0.008215197,0.008161697,0.00801316,0.0079274,0.007766117,0.008078486,0.008058573,0.00802062,0.007877254,0.007675622,0.007439436,0.007938516,0.007891094,0.007873976,0.007795542,0.007573592,0.007148389,0.007830115,0.007776351,0.007704885,0.007666368,0.007476577,0.006980039,0.007840378,0.007853979,0.007975509,0.007809449,0.007806842,0.007527344,0.007279905,144
Trip Vehicle Share Car HOV3 Emergency,0.005790564,0.005763588,0.005803738,0.005797037,0.005715959,0.005662455,0.005553897,0.005765898,0.005699257,0.005645298,0.005613023,0.005746824,0.005665734,0.005678083,0.005645453,0.005474179,0.005429452,0.005638503,0.005594072,0.005595269,0.00550542,0.005410142,0.005221434,0.005549679,0.005502904,0.00545344,0.00543526,0.005290288,0.005035694,0.005450552,0.005416086,0.005332272,0.005343358,0.005209531,0.004884397,0.005454612,0.005485443,0.00546794,0.005401933,0.005392728,0.005268775,0.005066944,145
Trip Vehicle Share Ride Hail,0.006351296,0.006683949,0.005949969,0.009045897,0.01059231,0.015834401,0.02017613,0.009659721,0.011165741,0.016288438,0.020724537,0.006617792,0.006244931,0.009960422,0.01187836,0.020039756,0.029574907,0.006571612,0.00619448,0.010022064,0.012178325,0.022123007,0.036818395,0.006289666,0.006010296,0.009895762,0.01197895,0.022921787,0.04396936,0.006116015,0.00590245,0.00969877,0.011793353,0.022995873,0.047838807,0.007982838,0.007679475,0.007245887,0.011730815,0.014191097,0.026820759,0.049833604,146
Trip Vehicle Share Empty Ride Hail,0.006147368,0.006375351,0.005892675,0.008933608,0.010474089,0.016174305,0.023834059,0.009338726,0.010769348,0.016225631,0.023829093,0.006309129,0.006079742,0.009610042,0.011446618,0.019340323,0.031207654,0.006331974,0.00605742,0.009715352,0.011773434,0.021369293,0.0375169,0.006183818,0.005982499,0.009761055,0.011775023,0.022355842,0.044211742,0.006016584,0.005882549,0.009581976,0.011591333,0.022420631,0.047291521,0.005620637,0.005465805,0.005215979,0.008389359,0.010017858,0.018112037,0.031831461,147
Trip Vehicle Share Ride Hail WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
Trip Vehicle Share Empty Ride Hail WC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
Trip Vehicle Share CAV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Trip Vehicle Share Car HOV2,0.062521617,0.062407618,0.062605584,0.062310625,0.062194317,0.062203002,0.061982773,0.062545729,0.062264393,0.062230629,0.062098582,0.061936427,0.061821849,0.061718837,0.061421158,0.06168156,0.061292269,0.061302657,0.061139473,0.061129098,0.060953684,0.060801295,0.060500812,0.060543873,0.060448383,0.060028186,0.060197111,0.059697251,0.059443308,0.059842876,0.059849255,0.059471877,0.059402632,0.058844776,0.058129892,0.059982647,0.060273462,0.060427854,0.059998491,0.059833213,0.059312355,0.059324315,151
Trip Vehicle Share Car HOV3,0.044806739,0.044758054,0.044673854,0.044779154,0.044688018,0.044772352,0.044719339,0.044726672,0.044757151,0.044678236,0.044594178,0.044253552,0.044389506,0.044025833,0.043985354,0.043966254,0.043936861,0.043753362,0.04370681,0.043348478,0.043461723,0.043296293,0.043246286,0.043137944,0.04292114,0.042710812,0.04271035,0.042602941,0.042075263,0.04231193,0.042276688,0.042257139,0.041961548,0.041657603,0.041525807,0.04267897,0.042746105,0.04303702,0.042691216,0.042572228,0.042215515,0.041841295,152
Trip Vehicle Share Bus,0.050564071,0.050547583,0.050545415,0.050468833,0.050525395,0.050432561,0.050198432,0.050578258,0.050581185,0.050456564,0.050221916,0.050970795,0.050983592,0.050917067,0.050986723,0.05092661,0.050821219,0.051358176,0.051258217,0.051270278,0.051335723,0.051384097,0.051217911,0.051522691,0.051541219,0.051496623,0.051530847,0.051623723,0.051664953,0.051788833,0.051731723,0.051718575,0.051687549,0.051783484,0.051841546,0.051764989,0.051804382,0.051735937,0.051683754,0.051761004,0.051957379,0.051973085,153
Trip Vehicle Share Tram,0.002694548,0.002686007,0.002691625,0.002690611,0.002693743,0.002694126,0.002692661,0.002686954,0.002691846,0.002694703,0.002686833,0.002703112,0.002701423,0.002681348,0.002705774,0.002700917,0.002706684,0.002702094,0.002697099,0.002697162,0.002725946,0.002727184,0.00272335,0.002696139,0.002706373,0.002724649,0.002698498,0.002709915,0.002729094,0.002710756,0.002705527,0.002700352,0.002698526,0.00271704,0.002731833,0.002718993,0.002699361,0.002719328,0.002704826,0.002703279,0.002729657,0.002740871,154
Trip Vehicle Share Rail,8.82E-05,8.75E-05,8.84E-05,8.88E-05,8.88E-05,8.91E-05,8.84E-05,8.83E-05,8.87E-05,8.84E-05,8.85E-05,8.96E-05,8.9E-05,8.84E-05,8.82E-05,8.84E-05,8.89E-05,8.92E-05,8.83E-05,8.83E-05,8.87E-05,8.89E-05,8.93E-05,8.94E-05,8.93E-05,8.93E-05,8.92E-05,8.9E-05,8.99E-05,8.95E-05,8.99E-05,8.96E-05,8.95E-05,9.05E-05,9.02E-05,9.06E-05,9.02E-05,8.96E-05,8.94E-05,8.93E-05,8.96E-05,9.08E-05,155
Trip Vehicle Share Subway,0.000745102,0.000743763,0.000741457,0.000744444,0.000745109,0.000745227,0.000743101,0.000743603,0.000745749,0.000745654,0.000744127,0.000743951,0.000745786,0.000746632,0.000745858,0.000747251,0.000749916,0.000746039,0.000745368,0.00074496,0.000746546,0.000750446,0.00075032,0.000745137,0.000746827,0.000746627,0.000744836,0.000750128,0.000754562,0.000746373,0.000745367,0.000745324,0.000746614,0.000747388,0.000755488,0.000746724,0.000746357,0.000747539,0.000746716,0.000747383,0.000751075,0.000754757,156
Trip Vehicle Share Cable Car,0.00083992,0.000843492,0.000840867,0.00083897,0.000846113,0.000852426,0.00083878,0.000835853,0.00084117,0.000841663,0.000832075,0.000857466,0.000849316,0.000856939,0.0008397,0.00085065,0.000850096,0.000847981,0.000847239,0.000852576,0.000853829,0.000849999,0.000856214,0.000840406,0.000840453,0.000850386,0.000853466,0.000842811,0.000862754,0.000847482,0.000847001,0.000853228,0.000837445,0.000852585,0.000858764,0.000842276,0.000854674,0.000852019,0.000856858,0.00086044,0.00086083,0.000866678,157
Trip Vehicle Share Ferry,9.53E-07,1.01E-06,7.84E-07,1.01E-06,1.01E-06,9.55E-07,7.86E-07,9.53E-07,1.12E-06,1.01E-06,1.12E-06,8.4E-07,7.29E-07,1.01E-06,8.97E-07,6.75E-07,6.77E-07,1.06E-06,8.97E-07,8.96E-07,1.23E-06,6.2E-07,9.06E-07,7.84E-07,1.06E-06,9.51E-07,8.4E-07,1.13E-06,7.95E-07,8.95E-07,9.5E-07,1.01E-06,1.17E-06,1.01E-06,9.66E-07,1.06E-06,9.51E-07,9.52E-07,1.01E-06,1.01E-06,1.07E-06,9.07E-07,158
Trip Vehicle Share Empty Bus,0.024379996,0.024380184,0.024353153,0.024465458,0.024475808,0.02466532,0.024849215,0.024418171,0.02448442,0.024673044,0.024884013,0.023959003,0.023978615,0.024079417,0.024027757,0.02430724,0.024658154,0.023590016,0.023678862,0.023648317,0.023702854,0.023961543,0.024513035,0.023334837,0.023255711,0.023347587,0.023392172,0.02363348,0.024247827,0.023041089,0.023031028,0.023051031,0.02311046,0.023328426,0.024130047,0.023094538,0.023018339,0.023143601,0.023124548,0.023125314,0.023276289,0.023850945,159
Trip Vehicle Share Empty Tram,0.000383366,0.000391239,0.000384422,0.000386902,0.000386519,0.000390106,0.000389508,0.000393112,0.000391061,0.000390832,0.000397729,0.000374217,0.000377237,0.00039872,0.000375032,0.000388899,0.000393216,0.00037599,0.000380529,0.000379707,0.000355851,0.000367223,0.000386882,0.000378222,0.000365499,0.000349165,0.000378553,0.00038086,0.000388606,0.000362471,0.000364941,0.000370398,0.000373391,0.000367769,0.000388282,0.00035545,0.00037357,0.000355937,0.000367513,0.000372264,0.000360151,0.000373183,160
