1. Record Type,2. Sample Number,3. Phone,4. Month,5. Day,6. Year,7. Day of Week,8. Advance Letter,9. Address,10. City,11. State,12. Zip Code,13. HH County,14. HH Study Area,15. HH Zone,16. Longitude,17. Latitude,18. Number Persons,19. Number Employed,20. Vehicles Available,21. Vehicles Owned / Leased ,22. Bikes,23. Residence,24. Other Residence,25. Tenure,26. Previous Residence,27. Previous Zip Code,28. HH Factors ,29. Other Factors,30. Income,31. Day Visitors,32. Overnight Visitors,33. Delivery Vehicle,34. Number of Delivery Drivers,35. HH Vehicle Use by Non HH Member,36. GPS House,37. Total HH Trips
1,11070,,12,5,2017,2,1,,Austin,TX,78704,5,AU,,-97.757,30.263,1,1,1,1,0,2,,2,2,98105,6;8,,23,0,0,,,2,2,5
1,11082,,10,25,2017,3,1,,Austin,TX,78704,5,AU,,-97.768,30.239,1,0,0,0,0,3,,4,1,78758,1;6;7;8,,3,0,0,,,3,2,4
1,11110,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.769,30.256,1,1,1,1,1,1,,5,,,3,,20,0,0,,,2,1,7
1,11112,,11,30,2017,4,1,,Austin,TX,78704,5,AU,,-97.771,30.254,2,2,3,3,1,3,,3,1,78721,3;6,,19,1,0,,,2,2,7
1,11130,,10,18,2017,3,1,,Austin,Texas,78723,5,AU,,-97.701,30.302,1,1,1,1,0,4,,1,1,78704,3;6;8;96,0,21,0,0,,,2,2,4
1,11140,,12,5,2017,2,1,,Austin,TX,78704,5,AU,,-97.785,30.235,1,1,1,1,1,2,,5,,,3;6,,14,1,0,,,2,2,4
1,11160,,8,22,2018,3,1,,Austin,TX,78704,5,AU,,-97.767,30.231,2,1,2,2,0,4,,5,,,96,MOVED IN WITH UNMARRIED PARTNER,7,1,0,,,2,2,7
1,11163,,10,23,2017,1,1,,AUSTIN,TX,78704,5,AU,,-97.751,30.257,2,2,1,1,0,4,,1,1,78728,1;3;6;7,,23,0,0,,,2,2,6
1,11169,,12,19,2017,2,1,,Austin,TX,78704,5,AU,,-97.764,30.261,1,1,2,2,2,1,,5,,,6,,17,0,0,,,2,2,2
1,11187,,12,6,2017,3,1,,Austin,TX,78704,5,AU,,-97.765,30.254,1,0,0,0,0,4,,3,1,78759,1;6;8,,2,0,0,,,3,2,2
1,11205,,11,1,2017,3,1,,Austin,TX,78704,5,AU,,-97.747,30.246,2,2,2,2,3,1,,1,1,78704,6,,21,0,0,,,2,2,12
1,11226,,10,24,2017,2,1,,AUSTIN,TX,78704,5,AU,,-97.757,30.239,3,2,3,3,3,1,,5,,,5;6,,23,0,0,,,2,2,9
1,11298,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.789,30.239,4,2,2,2,1,2,,2,1,78723,4;6,,23,0,0,,,2,2,15
1,11313,,10,18,2017,3,1,,Austin,Texas,78704,5,AU,,-97.780,30.253,2,0,2,2,2,1,,1,2,99998,6,0,23,0,0,,,2,2,13
1,11338,,1,12,2018,5,1,,AUSTIN,TX,78704,5,AU,,-97.778,30.236,2,2,2,2,2,3,,2,1,78703,1;6,,21,0,0,,,2,2,8
