taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8055E+12,Public,NoCharger,Any,FlatFee,0,217,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,218,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,219,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,220,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,221,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,222,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,223,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,224,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,225,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,226,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,227,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,228,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,229,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,230,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,231,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,232,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,233,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,234,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,235,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,236,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,237,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,238,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,239,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,240,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,241,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,242,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,243,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,244,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,245,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,246,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,247,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,248,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,249,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,250,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,251,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,252,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,253,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,254,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,255,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,256,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,257,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,258,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,259,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,260,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,261,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,262,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,263,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,264,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,265,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,266,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,267,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,268,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,269,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,270,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,271,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,272,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,273,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,274,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,275,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,276,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,277,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,278,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,279,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,280,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,281,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,282,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,283,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,284,35
